filename,label,validation
1-100032-A-0_000_003.mp3,dog,False
1-100032-A-0_003_006.mp3,dog,False
1-110389-A-0_000_003.mp3,dog,False
1-110389-A-0_003_006.mp3,dog,False
1-116765-A-41_000_003.mp3,chainsaw,False
1-116765-A-41_003_006.mp3,chainsaw,False
1-17150-A-12_000_003.mp3,crackling_fire,False
1-17150-A-12_003_006.mp3,crackling_fire,False
1-172649-A-40_000_003.mp3,helicopter,False
1-172649-A-40_003_006.mp3,helicopter,False
1-172649-B-40_000_003.mp3,helicopter,False
1-172649-B-40_003_006.mp3,helicopter,False
1-172649-C-40_000_003.mp3,helicopter,False
1-172649-C-40_003_006.mp3,helicopter,False
1-172649-D-40_000_003.mp3,helicopter,False
1-172649-D-40_003_006.mp3,helicopter,False
1-172649-E-40_000_003.mp3,helicopter,False
1-172649-E-40_003_006.mp3,helicopter,False
1-172649-F-40_000_003.mp3,helicopter,False
1-172649-F-40_003_006.mp3,helicopter,False
1-17367-A-10_000_003.mp3,rain,False
1-17367-A-10_003_006.mp3,rain,False
1-17565-A-12_000_003.mp3,crackling_fire,False
1-17565-A-12_003_006.mp3,crackling_fire,False
1-17742-A-12_000_003.mp3,crackling_fire,False
1-17742-A-12_003_006.mp3,crackling_fire,False
1-17808-A-12_000_003.mp3,crackling_fire,False
1-17808-A-12_003_006.mp3,crackling_fire,False
1-17808-B-12_000_003.mp3,crackling_fire,False
1-17808-B-12_003_006.mp3,crackling_fire,False
1-181071-A-40_000_003.mp3,helicopter,False
1-181071-A-40_003_006.mp3,helicopter,False
1-181071-B-40_000_003.mp3,helicopter,False
1-181071-B-40_003_006.mp3,helicopter,False
1-187207-A-20_000_003.mp3,crying_baby,False
1-187207-A-20_003_006.mp3,crying_baby,False
1-19898-A-41_000_003.mp3,chainsaw,False
1-19898-A-41_003_006.mp3,chainsaw,False
1-19898-B-41_000_003.mp3,chainsaw,False
1-19898-B-41_003_006.mp3,chainsaw,False
1-19898-C-41_000_003.mp3,chainsaw,False
1-19898-C-41_003_006.mp3,chainsaw,False
1-211527-A-20_000_003.mp3,crying_baby,False
1-211527-A-20_003_006.mp3,crying_baby,False
1-211527-B-20_000_003.mp3,crying_baby,False
1-211527-B-20_003_006.mp3,crying_baby,False
1-211527-C-20_000_003.mp3,crying_baby,False
1-211527-C-20_003_006.mp3,crying_baby,False
1-21189-A-10_000_003.mp3,rain,False
1-21189-A-10_003_006.mp3,rain,False
1-21934-A-38_000_003.mp3,clock_tick,False
1-21934-A-38_003_006.mp3,clock_tick,False
1-21935-A-38_000_003.mp3,clock_tick,False
1-21935-A-38_003_006.mp3,clock_tick,False
1-22694-A-20_000_003.mp3,crying_baby,False
1-22694-A-20_003_006.mp3,crying_baby,False
1-22694-B-20_000_003.mp3,crying_baby,False
1-22694-B-20_003_006.mp3,crying_baby,False
1-26143-A-21_000_003.mp3,sneezing,False
1-26143-A-21_003_006.mp3,sneezing,False
1-26222-A-10_000_003.mp3,rain,False
1-26222-A-10_003_006.mp3,rain,False
1-26806-A-1_000_003.mp3,rooster,False
1-26806-A-1_003_006.mp3,rooster,False
1-27724-A-1_000_003.mp3,rooster,False
1-27724-A-1_003_006.mp3,rooster,False
1-28135-A-11_000_003.mp3,sea_waves,False
1-28135-A-11_003_006.mp3,sea_waves,False
1-28135-B-11_000_003.mp3,sea_waves,False
1-28135-B-11_003_006.mp3,sea_waves,False
1-29561-A-10_000_003.mp3,rain,False
1-29561-A-10_003_006.mp3,rain,False
1-29680-A-21_000_003.mp3,sneezing,False
1-29680-A-21_003_006.mp3,sneezing,False
1-30226-A-0_000_003.mp3,dog,False
1-30226-A-0_003_006.mp3,dog,False
1-30344-A-0_000_003.mp3,dog,False
1-30344-A-0_003_006.mp3,dog,False
1-31748-A-21_000_003.mp3,sneezing,False
1-31748-A-21_003_006.mp3,sneezing,False
1-32318-A-0_000_003.mp3,dog,False
1-32318-A-0_003_006.mp3,dog,False
1-34119-A-1_000_003.mp3,rooster,False
1-34119-A-1_003_006.mp3,rooster,False
1-34119-B-1_000_003.mp3,rooster,False
1-34119-B-1_003_006.mp3,rooster,False
1-35687-A-38_000_003.mp3,clock_tick,False
1-35687-A-38_003_006.mp3,clock_tick,False
1-39901-A-11_000_003.mp3,sea_waves,False
1-39901-A-11_003_006.mp3,sea_waves,False
1-39901-B-11_000_003.mp3,sea_waves,False
1-39901-B-11_003_006.mp3,sea_waves,False
1-39923-A-1_000_003.mp3,rooster,False
1-39923-A-1_003_006.mp3,rooster,False
1-40730-A-1_000_003.mp3,rooster,False
1-40730-A-1_003_006.mp3,rooster,False
1-4211-A-12_000_003.mp3,crackling_fire,False
1-4211-A-12_003_006.mp3,crackling_fire,False
1-42139-A-38_000_003.mp3,clock_tick,False
1-42139-A-38_003_006.mp3,clock_tick,False
1-43382-A-1_000_003.mp3,rooster,False
1-43382-A-1_003_006.mp3,rooster,False
1-43760-A-11_000_003.mp3,sea_waves,False
1-43760-A-11_003_006.mp3,sea_waves,False
1-44831-A-1_000_003.mp3,rooster,False
1-44831-A-1_003_006.mp3,rooster,False
1-46272-A-12_000_003.mp3,crackling_fire,False
1-46272-A-12_003_006.mp3,crackling_fire,False
1-47250-A-41_000_003.mp3,chainsaw,False
1-47250-A-41_003_006.mp3,chainsaw,False
1-47250-B-41_000_003.mp3,chainsaw,False
1-47250-B-41_003_006.mp3,chainsaw,False
1-47273-A-21_000_003.mp3,sneezing,False
1-47273-A-21_003_006.mp3,sneezing,False
1-47274-A-21_000_003.mp3,sneezing,False
1-47274-A-21_003_006.mp3,sneezing,False
1-48413-A-38_000_003.mp3,clock_tick,False
1-48413-A-38_003_006.mp3,clock_tick,False
1-50060-A-10_000_003.mp3,rain,False
1-50060-A-10_003_006.mp3,rain,False
1-54505-A-21_000_003.mp3,sneezing,False
1-54505-A-21_003_006.mp3,sneezing,False
1-54958-A-10_000_003.mp3,rain,False
1-54958-A-10_003_006.mp3,rain,False
1-56311-A-10_000_003.mp3,rain,False
1-56311-A-10_003_006.mp3,rain,False
1-57163-A-38_000_003.mp3,clock_tick,False
1-57163-A-38_003_006.mp3,clock_tick,False
1-59324-A-21_000_003.mp3,sneezing,False
1-59324-A-21_003_006.mp3,sneezing,False
1-59513-A-0_000_003.mp3,dog,False
1-59513-A-0_003_006.mp3,dog,False
1-60997-A-20_000_003.mp3,crying_baby,False
1-60997-A-20_003_006.mp3,crying_baby,False
1-60997-B-20_000_003.mp3,crying_baby,False
1-60997-B-20_003_006.mp3,crying_baby,False
1-61252-A-11_000_003.mp3,sea_waves,False
1-61252-A-11_003_006.mp3,sea_waves,False
1-62849-A-38_000_003.mp3,clock_tick,False
1-62849-A-38_003_006.mp3,clock_tick,False
1-62850-A-38_000_003.mp3,clock_tick,False
1-62850-A-38_003_006.mp3,clock_tick,False
